Freq.	V(n028)
Step Information: Run=1  (Step: 1/100)
1.99526231496890e+02	(-6.94656111515306e+00dB,-6.28302737576696e+01°)
2.08929613085406e+02	(-7.26614038867989e+00dB,-6.38876807997714e+01°)
2.18776162394957e+02	(-7.59147404333199e+00dB,-6.49156857776653e+01°)
2.29086765276779e+02	(-7.92223951728876e+00dB,-6.59138199997031e+01°)
2.39883291901951e+02	(-8.25811951170974e+00dB,-6.68817754856741e+01°)
2.51188643150960e+02	(-8.59880392342098e+00dB,-6.78193934374692e+01°)
2.63026799189540e+02	(-8.94399146586746e+00dB,-6.87266520646955e+01°)
2.75422870333819e+02	(-9.29339099020839e+00dB,-6.96036540791094e+01°)
2.88403150312663e+02	(-9.64672252421482e+00dB,-7.04506141310063e+01°)
3.01995172040204e+02	(-1.00037180507902e+01dB,-7.12678464182465e+01°)
3.16227766016841e+02	(-1.03641220506230e+01dB,-7.20557526565224e+01°)
3.31131121482594e+02	(-1.07276918349011e+01dB,-7.28148105593625e+01°)
3.46736850452535e+02	(-1.10941976943706e+01dB,-7.35455629394248e+01°)
3.63078054770105e+02	(-1.14634228905324e+01dB,-7.42486075095374e+01°)
3.80189396320565e+02	(-1.18351635136251e+01dB,-7.49245874331414e+01°)
3.98107170553501e+02	(-1.22092282304494e+01dB,-7.55741826493011e+01°)
4.16869383470339e+02	(-1.25854379431774e+01dB,-7.61981019772375e+01°)
4.36515832240170e+02	(-1.29636253782132e+01dB,-7.67970759890862e+01°)
4.57088189614879e+02	(-1.33436346220363e+01dB,-7.73718506269402e+01°)
4.78630092322643e+02	(-1.37253206188292e+01dB,-7.79231815307972e+01°)
5.01187233627277e+02	(-1.41085486426547e+01dB,-7.84518290373371e+01°)
5.24807460249778e+02	(-1.44931937550292e+01dB,-7.89585538050964e+01°)
5.49540873857630e+02	(-1.48791402569718e+01dB,-7.94441130191490e+01°)
5.75439937337163e+02	(-1.52662811430083e+01dB,-7.99092571275084e+01°)
6.02559586074364e+02	(-1.56545175631855e+01dB,-8.03547270617629e+01°)
6.30957344480200e+02	(-1.60437582978898e+01dB,-8.07812518956936e+01°)
6.60693448007603e+02	(-1.64339192491766e+01dB,-8.11895468975274e+01°)
6.91830970918944e+02	(-1.68249229513750e+01dB,-8.15803119338601e+01°)
7.24435960074998e+02	(-1.72166981029381e+01dB,-8.19542301859732e+01°)
7.58577575029192e+02	(-1.76091791208370e+01dB,-8.23119671421217e+01°)
7.94328234724290e+02	(-1.80023057182464e+01dB,-8.26541698322969e+01°)
8.31763771102680e+02	(-1.83960225058098e+01dB,-8.29814662748737e+01°)
8.70963589956090e+02	(-1.87902786164111e+01dB,-8.32944651073872e+01°)
9.12010839355920e+02	(-1.91850273530850e+01dB,-8.35937553763912e+01°)
9.54992586021446e+02	(-1.95802258594718e+01dB,-8.38799064639257e+01°)
1.00000000000001e+03	(-1.99758348120531e+01dB,-8.41534681305092e+01°)
1.04712854805091e+03	(-2.03718181332740e+01dB,-8.44149706568021e+01°)
1.09647819614320e+03	(-2.07681427245732e+01dB,-8.46649250681241e+01°)
1.14815362149690e+03	(-2.11647782182803e+01dB,-8.49038234278806e+01°)
1.20226443461743e+03	(-2.15616967473111e+01dB,-8.51321391876368e+01°)
1.25892541179418e+03	(-2.19588727315759e+01dB,-8.53503275831156e+01°)
1.31825673855642e+03	(-2.23562826800215e+01dB,-8.55588260667623e+01°)
1.38038426460290e+03	(-2.27539050072422e+01dB,-8.57580547687493e+01°)
1.44543977074594e+03	(-2.31517198636185e+01dB,-8.59484169793930e+01°)
1.51356124843623e+03	(-2.35497089779787e+01dB,-8.61302996469220e+01°)
1.58489319246113e+03	(-2.39478555118071e+01dB,-8.63040738854015e+01°)
1.65958690743758e+03	(-2.43461439240677e+01dB,-8.64700954883788e+01°)
1.73780082874940e+03	(-2.47445598457515e+01dB,-8.66287054444810e+01°)
1.81970085861001e+03	(-2.51430899632925e+01dB,-8.67802304517876e+01°)
1.90546071796327e+03	(-2.55417219100439e+01dB,-8.69249834283101e+01°)
1.99526231496890e+03	(-2.59404441650401e+01dB,-8.70632640163642e+01°)
2.08929613085406e+03	(-2.63392459583103e+01dB,-8.71953590790063e+01°)
2.18776162394958e+03	(-2.67381171820418e+01dB,-8.73215431870481e+01°)
