Freq.	V(n028)
Step Information: Run=1  (Step: 1/100)
2.51188643150961e+03	(-2.79481558761566e+01dB,-8.76707459826112e+01°)
2.63026799189541e+03	(-2.83472141576434e+01dB,-8.77756452440555e+01°)
2.75422870333820e+03	(-2.87462981296403e+01dB,-8.78758453763311e+01°)
2.88403150312664e+03	(-2.91454000356198e+01dB,-8.79715564677317e+01°)
3.01995172040205e+03	(-2.95445122674143e+01dB,-8.80629794001741e+01°)
3.16227766016842e+03	(-2.99436273011649e+01dB,-8.81503062347854e+01°)
3.31131121482595e+03	(-3.03427376338727e+01dB,-8.82337205839770e+01°)
3.46736850452536e+03	(-3.07418357200266e+01dB,-8.83133979701330e+01°)
3.63078054770106e+03	(-3.11409139077837e+01dB,-8.83895061710943e+01°)
3.80189396320566e+03	(-3.15399643741654e+01dB,-8.84622055526654e+01°)
3.98107170553503e+03	(-3.19389790587262e+01dB,-8.85316493884103e+01°)
4.16869383470341e+03	(-3.23379495951330e+01dB,-8.85979841670302e+01°)
4.36515832240172e+03	(-3.27368672400764e+01dB,-8.86613498876394e+01°)
4.57088189614881e+03	(-3.31357227989054e+01dB,-8.87218803432744e+01°)
4.78630092322645e+03	(-3.35345065473524e+01dB,-8.87797033929834e+01°)
5.01187233627279e+03	(-3.39332081486731e+01dB,-8.88349412228496e+01°)
5.24807460249780e+03	(-3.43318165654904e+01dB,-8.88877105963103e+01°)
5.49540873857632e+03	(-3.47303199655780e+01dB,-8.89381230941353e+01°)
5.75439937337165e+03	(-3.51287056207658e+01dB,-8.89862853444260e+01°)
6.02559586074366e+03	(-3.55269597980893e+01dB,-8.90322992429968e+01°)
6.30957344480202e+03	(-3.59250676422275e+01dB,-8.90762621644971e+01°)
6.60693448007605e+03	(-3.63230130482012e+01dB,-8.91182671646250e+01°)
6.91830970918946e+03	(-3.67207785232077e+01dB,-8.91584031737802e+01°)
7.24435960075000e+03	(-3.71183450363707e+01dB,-8.91967551824964e+01°)
7.58577575029195e+03	(-3.75156918550682e+01dB,-8.92334044189837e+01°)
7.94328234724293e+03	(-3.79127963663773e+01dB,-8.92684285191088e+01°)
8.31763771102683e+03	(-3.83096338820307e+01dB,-8.93019016891263e+01°)
8.70963589956093e+03	(-3.87061774251253e+01dB,-8.93338948614722e+01°)
9.12010839355923e+03	(-3.91023974966400e+01dB,-8.93644758439184e+01°)
9.54992586021450e+03	(-3.94982618196298e+01dB,-8.93937094623801e+01°)
1.00000000000001e+04	(-3.98937350587358e+01dB,-8.94216576976611e+01°)
1.04712854805092e+04	(-4.02887785124041e+01dB,-8.94483798164121e+01°)
1.09647819614320e+04	(-4.06833497749309e+01dB,-8.94739324965715e+01°)
1.14815362149690e+04	(-4.10774023651337e+01dB,-8.94983699475514e+01°)
1.20226443461743e+04	(-4.14708853181033e+01dB,-8.95217440254229e+01°)
1.25892541179419e+04	(-4.18637427360876e+01dB,-8.95441043433520e+01°)
1.31825673855643e+04	(-4.22559132941200e+01dB,-8.95654983775304e+01°)
1.38038426460291e+04	(-4.26473296954927e+01dB,-8.95859715688427e+01°)
1.44543977074595e+04	(-4.30379180716062e+01dB,-8.96055674205066e+01°)
1.51356124843623e+04	(-4.34275973200772e+01dB,-8.96243275919231e+01°)
1.58489319246114e+04	(-4.38162783742417e+01dB,-8.96422919889704e+01°)
1.65958690743759e+04	(-4.42038633963493e+01dB,-8.96594988509789e+01°)
1.73780082874940e+04	(-4.45902448857748e+01dB,-8.96759848346236e+01°)
1.81970085861001e+04	(-4.49753046924589e+01dB,-8.96917850949793e+01°)
1.90546071796328e+04	(-4.53589129245133e+01dB,-8.97069333639871e+01°)
1.99526231496891e+04	(-4.57409267374395e+01dB,-8.97214620265939e+01°)
