Freq.	V(n028)
Step Information: Run=1  (Step: 1/100)
1.44543977074594e+03	(-2.31592682675669e+01dB,-8.59519451395263e+01°)
1.51356124843623e+03	(-2.35572611419685e+01dB,-8.61336708647963e+01°)
1.58489319246113e+03	(-2.39554111898349e+01dB,-8.63072950524478e+01°)
1.65958690743758e+03	(-2.43537028992929e+01dB,-8.64731732109441e+01°)
1.73780082874940e+03	(-2.47521219287670e+01dB,-8.66316460536138e+01°)
1.81970085861001e+03	(-2.51506549906108e+01dB,-8.67830400129730e+01°)
1.90546071796327e+03	(-2.55492897427872e+01dB,-8.69276677511092e+01°)
1.99526231496890e+03	(-2.59480146878267e+01dB,-8.70658286639201e+01°)
2.08929613085406e+03	(-2.63468190783291e+01dB,-8.71978093773845e+01°)
2.18776162394958e+03	(-2.67456928283109e+01dB,-8.73238842343873e+01°)
2.29086765276780e+03	(-2.71446264297299e+01dB,-8.74443157709091e+01°)
2.39883291901952e+03	(-2.75436108735517e+01dB,-8.75593551806447e+01°)
2.51188643150961e+03	(-2.79426375747470e+01dB,-8.76692427673336e+01°)
2.63026799189541e+03	(-2.83416983006316e+01dB,-8.77742083842707e+01°)
2.75422870333820e+03	(-2.87407851019835e+01dB,-8.78744718606254e+01°)
2.88403150312664e+03	(-2.91398902463837e+01dB,-8.79702434143337e+01°)
3.01995172040205e+03	(-2.95390061532439e+01dB,-8.80617240514430e+01°)
3.16227766016842e+03	(-2.99381253299928e+01dB,-8.81491059518834e+01°)
3.31131121482595e+03	(-3.03372403088951e+01dB,-8.82325728417271e+01°)
3.46736850452536e+03	(-3.07363435839825e+01dB,-8.83123003520578e+01°)
3.63078054770106e+03	(-3.11354275475731e+01dB,-8.83884563646329e+01°)
3.80189396320566e+03	(-3.15344844258462e+01dB,-8.84612013445660e+01°)
3.98107170553503e+03	(-3.19335062129323e+01dB,-8.85306886602932e+01°)
4.16869383470341e+03	(-3.23324846029615e+01dB,-8.85970648911161e+01°)
4.36515832240172e+03	(-3.27314109194929e+01dB,-8.86604701226403e+01°)
4.57088189614881e+03	(-3.31302760417246e+01dB,-8.87210382304400e+01°)
4.78630092322645e+03	(-3.35290703268530e+01dB,-8.87788971522980e+01°)
5.01187233627279e+03	(-3.39277835279141e+01dB,-8.88341691493751e+01°)
5.24807460249780e+03	(-3.43264047064011e+01dB,-8.88869710566693e+01°)
5.49540873857632e+03	(-3.47249221389003e+01dB,-8.89374145231277e+01°)
5.75439937337165e+03	(-3.51233232169378e+01dB,-8.89856062417752e+01°)
6.02559586074366e+03	(-3.55215943391632e+01dB,-8.90316481702184e+01°)
6.30957344480202e+03	(-3.59197207949292e+01dB,-8.90756377418854e+01°)
6.60693448007605e+03	(-3.63176866382465e+01dB,-8.91176680683509e+01°)
6.91830970918946e+03	(-3.67154745510019e+01dB,-8.91578281330955e+01°)
7.24435960075000e+03	(-3.71130656942320e+01dB,-8.91962029770378e+01°)
7.58577575029195e+03	(-3.75104395461301e+01dB,-8.92328738761718e+01°)
7.94328234724293e+03	(-3.79075737253391e+01dB,-8.92679185116355e+01°)
8.31763771102683e+03	(-3.83044437979469e+01dB,-8.93014111325253e+01°)
8.70963589956093e+03	(-3.87010230664380e+01dB,-8.93334227117666e+01°)
9.12010839355923e+03	(-3.90972823386887e+01dB,-8.93640210953383e+01°)
9.54992586021450e+03	(-3.94931896748901e+01dB,-8.93932711451460e+01°)
1.00000000000001e+04	(-3.98887101100707e+01dB,-8.94212348758246e+01°)
1.04712854805092e+04	(-4.02838053496412e+01dB,-8.94479715857486e+01°)
1.09647819614320e+04	(-4.06784334351122e+01dB,-8.94735379825177e+01°)
1.14815362149690e+04	(-4.10725483768257e+01dB,-8.94979883031795e+01°)
1.20226443461743e+04	(-4.14660997501969e+01dB,-8.95213744294444e+01°)
1.25892541179419e+04	(-4.18590322515683e+01dB,-8.95437459981425e+01°)
1.31825673855643e+04	(-4.22512852093440e+01dB,-8.95651505071666e+01°)
1.38038426460291e+04	(-4.26427920455671e+01dB,-8.95856334171408e+01°)
1.44543977074595e+04	(-4.30334796825458e+01dB,-8.96052382490521e+01°)
1.51356124843623e+04	(-4.34232678884896e+01dB,-8.96240066780795e+01°)
1.58489319246114e+04	(-4.38120685553874e+01dB,-8.96419786238538e+01°)
1.65958690743759e+04	(-4.41997849015313e+01dB,-8.96591923373820e+01°)
1.73780082874940e+04	(-4.45863105901341e+01dB,-8.96756844848738e+01°)
1.81970085861001e+04	(-4.49715287543951e+01dB,-8.96914902287097e+01°)
1.90546071796328e+04	(-4.53553109181143e+01dB,-8.97066433057989e+01°)
1.99526231496891e+04	(-4.57375157994929e+01dB,-8.97211761035838e+01°)
2.08929613085407e+04	(-4.61179879840798e+01dB,-8.97351197339606e+01°)
2.18776162394959e+04	(-4.64965564508540e+01dB,-8.97485041054041e+01°)
2.29086765276781e+04	(-4.68730329331437e+01dB,-8.97613579936046e+01°)
2.39883291901953e+04	(-4.72472100933919e+01dB,-8.97737091109546e+01°)
2.51188643150962e+04	(-4.76188594876119e+01dB,-8.97855841752588e+01°)
2.63026799189542e+04	(-4.79877292916264e+01dB,-8.97970089780841e+01°)
2.75422870333821e+04	(-4.83535417567331e+01dB,-8.98080084532253e+01°)
2.88403150312665e+04	(-4.87159903571216e+01dB,-8.98186067458306e+01°)
3.01995172040207e+04	(-4.90747365849815e+01dB,-8.98288272828221e+01°)
3.16227766016843e+04	(-4.94294063415484e+01dB,-8.98386928453584e+01°)
3.31131121482597e+04	(-4.97795858629930e+01dB,-8.98482256442283e+01°)
3.46736850452537e+04	(-5.01248171086703e+01dB,-8.98574473992459e+01°)
3.63078054770107e+04	(-5.04645925252656e+01dB,-8.98663794239469e+01°)
3.80189396320568e+04	(-5.07983490831164e+01dB,-8.98750427171810e+01°)
3.98107170553504e+04	(-5.11254614595266e+01dB,-8.98834580635785e+01°)
4.16869383470342e+04	(-5.14452342170334e+01dB,-8.98916461453606e+01°)
4.36515832240173e+04	(-5.17568927907146e+01dB,-8.98996276686144e+01°)
4.57088189614883e+04	(-5.20595730555798e+01dB,-8.99074235080065e+01°)
4.78630092322647e+04	(-5.23523091899308e+01dB,-8.99150548750482e+01°)
5.01187233627281e+04	(-5.26340194792773e+01dB,-8.99225435165530e+01°)
5.24807460249782e+04	(-5.29034896123599e+01dB,-8.99299119520029e+01°)
5.49540873857634e+04	(-5.31593528982155e+01dB,-8.99371837613867e+01°)
