frequency, magnitude
7688.005265557835, -5.190998329156226
8294.0518200694, -5.58918128654971
8947.873111141134, -6.14663742690059
9653.235228088162, -6.597911445279863
10414.201141584821, -7.128822055137846
11235.154106864815, -7.659732664995822
12120.822911798683, -8.190643274853798
13076.309115281041, -8.748099415204678
14107.1164328238, -9.332101086048453
15219.182438619648, -9.91610275689223
16418.912766683992, -10.473558897243109
17713.218008077816, -11.031015037593988
19109.55351674358, -11.64156223893066
20615.962353241197, -12.225563909774436
22241.12161374483, -12.809565580618212
23994.3924111608, -13.420112781954884
25885.873796264525, -13.977568922305764
27926.46092944842, -14.535025062656644
30127.907838156487, -15.11902673350042
32502.89512149726, -15.703028404344188
35065.10299202021, -16.23393901420218
37829.29007538644, -16.764849624060147
40811.37842182867, -17.322305764411027
44028.545219076215, -17.826670843776107
47499.321735023485, -18.30449039264829
51243.700060063384, -18.729218880534667
55283.24826393316, -19.180492898913954
59641.2346303918, -19.525584795321635
64342.76168533486, -19.870676691729322
69414.91079036368, -20.10958646616541
74886.89813468739, -20.348496240601506
80790.24302388901, -20.348496240601506
87158.94943491745, -20.348496240601506
94029.701883088, -20.26885964912281
101442.07672930376, -19.897222222222226
109438.77014465745, -19.366311612364242
118065.84404551545, -18.43721804511278
127372.99141569779, -17.03030492898914
136893.4810504177, -15.156190476190474
143632.60806208945, -13.420112781954884
148433.7676262677, -11.492907268170427
153007.93009752105, -9.318828320802005
157723.0508065667, -6.873984962406013
164808.83521411047, -4.560541979949875
168230.7110142464, -4.022994987468671
174514.93455849367, -6.873984962406013
176735.9006706551, -9.294937343358392
183569.83334048567, -11.620325814536336
188510.2150860098, -13.65902255639098
194565.27658094442, -15.596846282372603
207265.12342958414, -17.70456140350877
222194.4527941025, -19.419402673350042
239710.07328290792, -20.454678362573105
258606.45263967678, -20.321950710108602
278992.43628342793, -18.835401002506266
293468.26483001537, -16.764849624060147
304815.94436184695, -14.243024227234748
312623.8001021414, -11.349561403508773
325646.7861762858, -8.33061061745272
341560.2233793743, -11.880472013366749
339407.31612045824, -9.040100250626566
349866.55482802837, -14.805789473684207
359282.4501817918, -16.884304511278195
370822.8185852181, -19.04776524644945
397533.2265059149, -20.66704260651629
427066.7693360289, -19.97685881370092
444891.2089925747, -17.86383458646616
456864.48568872095, -15.039390142021723
475732.006932028, -12.034436090225569
474530.2860302794, -10.314285714285717
498520.9715363033, -15.06062656641604
496005.57880653965, -12.225563909774436
507104.9782000655, -17.441760651629075
521741.3722660444, -19.764494569757723
560840.2245723655, -20.940082348728964
588343.5192936026, -18.569945697577275
611522.7680317643, -15.941938178780283
622795.9478792228, -14.073132832080198
646877.9004349797, -18.0390350877193
649610.5069180843, -19.97685881370092
676152.9387440132, -21.463408521303258
724856.3084005385, -19.75918546365915
743423.4916241129, -17.109941520467842
770219.2714340737, -19.99809523809524
800580.0356205504, -22.432699606158252
854378.372683549, -20.547587719298242
865251.6278435981, -22.153592314118626
908868.1780117872, -24.011779448621553
962225.1993719714, -23.661378446115293
981893.109289138, -25.49832915622389
