Freq.	V(n028)/V(n012)
2.13796208950225e+01	(-2.85650359539610e-03dB,-2.43135687390473e-01°)
2.15030467934027e+01	(-2.85740057309099e-03dB,-2.44539308201538e-01°)
2.16271852372704e+01	(-2.85830793652186e-03dB,-2.45951031911143e-01°)
2.17520403401954e+01	(-2.85922580723627e-03dB,-2.47370905292044e-01°)
2.18776162394957e+01	(-2.86015430503392e-03dB,-2.48798975388479e-01°)
2.20039170963742e+01	(-2.86109355526229e-03dB,-2.50235289514295e-01°)
2.21309470960565e+01	(-2.86204368074253e-03dB,-2.51679895258170e-01°)
2.22587104479302e+01	(-2.86300480806766e-03dB,-2.53132840482376e-01°)
2.23872113856836e+01	(-2.86397706460638e-03dB,-2.54594173325653e-01°)
2.25164541674464e+01	(-2.86496057868535e-03dB,-2.56063942204894e-01°)
2.26464430759308e+01	(-2.86595548106518e-03dB,-2.57542195815867e-01°)
2.27771824185734e+01	(-2.86696190437313e-03dB,-2.59028983135279e-01°)
2.29086765276779e+01	(-2.86797998033850e-03dB,-2.60524353423574e-01°)
2.30409297605586e+01	(-2.86900984536635e-03dB,-2.62028356224008e-01°)
2.31739464996850e+01	(-2.87005163551649e-03dB,-2.63541041366647e-01°)
2.33077311528266e+01	(-2.87110548878104e-03dB,-2.65062458968978e-01°)
2.34422881531994e+01	(-2.87217154491464e-03dB,-2.66592659437551e-01°)
2.35776219596127e+01	(-2.87324994447657e-03dB,-2.68131693470362e-01°)
2.37137370566168e+01	(-2.87434083150571e-03dB,-2.69679612056896e-01°)
2.38506379546513e+01	(-2.87544435013464e-03dB,-2.71236466481732e-01°)
2.39883291901951e+01	(-2.87656064688453e-03dB,-2.72802308325099e-01°)
2.41268153259165e+01	(-2.87768986896350e-03dB,-2.74377189465260e-01°)
2.42661009508244e+01	(-2.87883216676413e-03dB,-2.75961162079290e-01°)
2.44061906804200e+01	(-2.87998769123668e-03dB,-2.77554278645837e-01°)
2.45470891568505e+01	(-2.88115659623516e-03dB,-2.79156591945683e-01°)
2.46888010490623e+01	(-2.88233903548442e-03dB,-2.80768155065479e-01°)
2.48313310529559e+01	(-2.88353516716812e-03dB,-2.82389021396556e-01°)
2.49746838915417e+01	(-2.88474514821694e-03dB,-2.84019244640078e-01°)
2.51188643150960e+01	(-2.88596914030974e-03dB,-2.85658878805576e-01°)
2.52638771013192e+01	(-2.88720730510237e-03dB,-2.87307978215127e-01°)
2.54097270554933e+01	(-2.88845980678112e-03dB,-2.88966597504020e-01°)
2.55564190106416e+01	(-2.88972681136916e-03dB,-2.90634791622841e-01°)
2.57039578276889e+01	(-2.89100848709303e-03dB,-2.92312615839145e-01°)
2.58523483956221e+01	(-2.89230500318466e-03dB,-2.94000125739730e-01°)
2.60015956316530e+01	(-2.89361653218970e-03dB,-2.95697377231700e-01°)
2.61517044813802e+01	(-2.89494324746719e-03dB,-2.97404426545194e-01°)
2.63026799189541e+01	(-2.89628532469440e-03dB,-2.99121330234695e-01°)
2.64545269472407e+01	(-2.89764294229514e-03dB,-3.00848145180690e-01°)
2.66072505979884e+01	(-2.89901627981435e-03dB,-3.02584928592288e-01°)
2.67608559319936e+01	(-2.90040551967761e-03dB,-3.04331738008483e-01°)
2.69153480392694e+01	(-2.90181084540460e-03dB,-3.06088631300560e-01°)
2.70707320392138e+01	(-2.90323244350758e-03dB,-3.07855666673412e-01°)
2.72270130807794e+01	(-2.90467050264824e-03dB,-3.09632902667747e-01°)
2.73841963426439e+01	(-2.90612521299046e-03dB,-3.11420398162457e-01°)
2.75422870333819e+01	(-2.90759676763569e-03dB,-3.13218212375790e-01°)
2.77012903916376e+01	(-2.90908536194097e-03dB,-3.15026404867658e-01°)
2.78612116862980e+01	(-2.91059119257840e-03dB,-3.16845035542073e-01°)
2.80220562166677e+01	(-2.91211445928499e-03dB,-3.18674164648225e-01°)
2.81838293126448e+01	(-2.91365536427718e-03dB,-3.20513852783134e-01°)
2.83465363348970e+01	(-2.91521411177328e-03dB,-3.22364160893350e-01°)
2.85101826750394e+01	(-2.91679090767615e-03dB,-3.24225150277492e-01°)
2.86747737558135e+01	(-2.91838596150926e-03dB,-3.26096882587269e-01°)
2.88403150312664e+01	(-2.91999948465522e-03dB,-3.27979419830410e-01°)
2.90068119869318e+01	(-2.92163169055739e-03dB,-3.29872824372443e-01°)
2.91742701400120e+01	(-2.92328279637723e-03dB,-3.31777158938437e-01°)
2.93426950395600e+01	(-2.92495302045332e-03dB,-3.33692486615690e-01°)
2.95120922666642e+01	(-2.92664258396159e-03dB,-3.35618870855507e-01°)
2.96824674346327e+01	(-2.92835171116516e-03dB,-3.37556375474946e-01°)
2.98538261891799e+01	(-2.93008062795578e-03dB,-3.39505064659724e-01°)
3.00261742086130e+01	(-2.93182956434944e-03dB,-3.41465002965286e-01°)
3.01995172040205e+01	(-2.93359875202354e-03dB,-3.43436255319897e-01°)
3.03738609194614e+01	(-2.93538842493531e-03dB,-3.45418887026600e-01°)
3.05492111321555e+01	(-2.93719882048518e-03dB,-3.47412963764814e-01°)
3.07255736526748e+01	(-2.93903017888585e-03dB,-3.49418551592973e-01°)
3.09029543251362e+01	(-2.94088274224402e-03dB,-3.51435716950929e-01°)
3.10813590273951e+01	(-2.94275675632665e-03dB,-3.53464526661471e-01°)
3.12607936712399e+01	(-2.94465247012782e-03dB,-3.55505047932822e-01°)
3.14412642025883e+01	(-2.94657013460122e-03dB,-3.57557348361218e-01°)
3.16227766016841e+01	(-2.94851000315403e-03dB,-3.59621495933100e-01°)
3.18053368832956e+01	(-2.95047233355311e-03dB,-3.61697559026493e-01°)
3.19889510969143e+01	(-2.95245738562719e-03dB,-3.63785606414403e-01°)
3.21736253269564e+01	(-2.95446542293093e-03dB,-3.65885707266156e-01°)
3.23593656929632e+01	(-2.95649671106446e-03dB,-3.67997931150557e-01°)
3.25461783498050e+01	(-2.95855151963746e-03dB,-3.70122348037346e-01°)
3.27340694878842e+01	(-2.96063012069390e-03dB,-3.72259028300285e-01°)
3.29230453333410e+01	(-2.96273278965738e-03dB,-3.74408042718855e-01°)
3.31131121482595e+01	(-2.96485980513341e-03dB,-3.76569462480960e-01°)
