Source_Condition,Unit_ID,Run_ID,True_Label,Severity,Location_of_fault,CCF_LF,LCC_LF,SDA_LF,SE_LF,CSD_LF,CCF_MF,LCC_MF,SDA_MF,SE_MF,CSD_MF,CCF_HF,LCC_HF,SDA_HF,SE_HF,CSD_HF,Peak_1_Hz,Peak_1_dB,Peak_2_Hz,Peak_2_dB,Peak_3_Hz,Peak_3_dB,Peak_4_Hz,Peak_4_dB,Peak_5_Hz,Peak_5_dB
Simulation_LCP_Incipient_Loc_Global,Simulation_LCP_Incipient_Loc_Global_Unit_18,Trace_4.txt,3,Incipient,Global,0.9999757021448911,0.9999745656575976,0.011698667283619638,-0.001084786318038083,0.010128874237934309,0.9999946374406843,0.9999902487115239,0.0010032251694705955,0.0020238450000000397,0.019954968857435782,0.9807147811403722,0.9805324570945811,0.041558348028433806,0.10919811077750002,1.1539975136234162,178700.6,-0.0619744,350568.1,-0.06273488,509745.8,-0.2769592,652991.4,-0.258661,780631.8,-0.7275654
Simulation_LCP_Incipient_Loc_Global,Simulation_LCP_Incipient_Loc_Global_Unit_19,Trace_1.txt,3,Incipient,Global,0.9999734900068971,0.9999678059765716,0.01318154644791746,0.002278589034164995,0.011221578702611078,0.9999949939463311,0.9999651497824023,0.0021465613778309965,0.031442834999999884,0.02030286297903908,0.99284541563807,0.9927602889679134,0.028637003042597392,0.07686050067500001,0.7046389016446477,174630.9,0.00812516,342584.2,0.05970061,498136.9,-0.0321553,638120.1,0.01891131,762853.6,0.02965507
Simulation_LCP_Incipient_Loc_Global,Simulation_LCP_Incipient_Loc_Global_Unit_19,Trace_2.txt,3,Incipient,Global,0.9999770195507564,0.9999752699845982,0.011726500491491584,-0.0012373493127824974,0.00998274097609663,0.9999867474801452,0.999970630143664,0.0014869141876233968,0.012524337499999929,0.031990156005507794,0.953373597296057,0.9533040634340445,0.06684354919146844,0.07065131176,1.8008779684357612,173628.0,0.008892024,340616.9,-0.01823905,498136.9,-0.405785,634455.5,-0.04690918,758472.7,0.5260629
Simulation_LCP_Incipient_Loc_Global,Simulation_LCP_Incipient_Loc_Global_Unit_2,Trace_1.txt,3,Incipient,Global,0.9999827433917592,0.9999819408643994,0.009723467835087683,0.0013343971657848364,0.009657035163631247,0.9999937534395877,0.999975033658041,0.0015211867811908012,0.022512532500000012,0.020901944585794346,0.9881642329688372,0.9880243609055673,0.03539806822328975,0.10185713557499994,0.9325159763843168,161103.0,-0.06617404,316045.7,-0.101849,459548.3,-0.4388916,588687.7,-0.3594478,703758.6,-1.355881
Simulation_LCP_Incipient_Loc_Global,Simulation_LCP_Incipient_Loc_Global_Unit_20,Trace_1.txt,3,Incipient,Global,0.9999799712824927,0.9999799036748521,0.010408048866888476,-0.000480424835383331,0.009981975824250292,0.9999927911862425,0.9999818742139605,0.0011920091626440718,0.012470485000000026,0.023726557526850895,0.976612419423056,0.9763300603233419,0.0469497131421468,0.133482948325,1.3021462658872964,168699.4,0.03066474,330948.1,0.01943635,481217.2,-0.359192,620006.4,-0.4318052,736942.7,0.352024
Simulation_LCP_Incipient_Loc_Global,Simulation_LCP_Incipient_Loc_Global_Unit_21,Trace_1.txt,3,Incipient,Global,0.999979720418722,0.9999796532215841,0.010356352355853377,5.895287665004384e-06,0.010139170234650307,0.9999938770965133,0.9999860518200291,0.0010368676860758907,0.011182267500000072,0.02081156787051417,0.9846248191725896,0.9845204008144162,0.038598336982986245,0.08201157135000006,1.0501842248906839,170653.8,-0.05083461,332859.6,-0.2303735,486792.3,-0.3046587,623587.6,-0.2235718,745480.4,-1.859319
Simulation_LCP_Incipient_Loc_Global,Simulation_LCP_Incipient_Loc_Global_Unit_21,Trace_2.txt,3,Incipient,Global,0.9999805862340515,0.999978787458007,0.010616783442692847,0.001536683599,0.01022741628134051,0.9999937422557578,0.9999718947419525,0.0016708053937488443,0.025050340000000018,0.022265481023828308,0.9928530688785246,0.9928235323677835,0.029291392964857,0.045713409100000046,0.7171074913804968,170653.8,-0.01641674,334782.2,0.01084984,486792.3,0.02742966,623587.6,-0.1198267,745480.4,-0.02042282
Simulation_LCP_Incipient_Loc_Global,Simulation_LCP_Incipient_Loc_Global_Unit_22,Trace_1.txt,3,Incipient,Global,0.9999795319017414,0.9999794046661032,0.010560992999885627,-0.0007977878300749908,0.01015601274406863,0.9999925218570977,0.999981779737047,0.0011668790764808646,0.013433727500000039,0.02283743070863442,0.9945950517955969,0.9945902119813878,0.025630819558572056,0.018157573395000067,0.6226248671546567,163910.7,-0.1255646,323411.1,-0.004653552,470258.0,0.01135455,602406.9,-0.1694406,720159.5,-0.01246495
Simulation_LCP_Incipient_Loc_Global,Simulation_LCP_Incipient_Loc_Global_Unit_22,Trace_2.txt,3,Incipient,Global,0.9999806097494139,0.9999806075269136,0.010127952225569793,-8.971875863332827e-05,0.009884922085451863,0.9999938529184005,0.9999839238378081,0.0011198247364704874,0.014258077500000015,0.020402591523349934,0.9913586998886426,0.9913249453109959,0.027016203353367463,0.022428063425000096,0.7910987652825017,164857.4,0.04630254,323411.1,-0.1684917,470258.0,-0.1475125,602406.9,-1.157748,720159.5,-0.2636073
Simulation_LCP_Incipient_Loc_Global,Simulation_LCP_Incipient_Loc_Global_Unit_22,Trace_3.txt,3,Incipient,Global,0.9999793306944958,0.9999741137384647,0.011682130496410908,0.002487641462000006,0.011130011332540957,0.9999959365542275,0.9999711218351413,0.0018981249500286848,0.029061197500000073,0.016368236061589415,0.9948918550200115,0.9947908453852444,0.02051440370957089,0.08435720297500005,0.6058233430187727,164857.4,0.0209016,323411.1,0.1175528,470258.0,-0.1967718,605886.4,-0.03107022,720159.5,-0.1027389
