Freq.	V(n028)
Step Information: Run=1  (Step: 1/100)
1.44543977074594e+03	(-2.31421565871935e+01dB,-8.59439489644796e+01°)
1.51356124843623e+03	(-2.35401417078842e+01dB,-8.61260313055767e+01°)
1.58489319246113e+03	(-2.39382846361792e+01dB,-8.62999964937501e+01°)
1.65958690743758e+03	(-2.43365698012881e+01dB,-8.64662006853616e+01°)
1.73780082874940e+03	(-2.47349828073470e+01dB,-8.66249852194941e+01°)
1.81970085861001e+03	(-2.51335103166310e+01dB,-8.67766771323887e+01°)
1.90546071796327e+03	(-2.55321399408449e+01dB,-8.69215896680466e+01°)
1.99526231496890e+03	(-2.59308601397178e+01dB,-8.70600227827726e+01°)
2.08929613085406e+03	(-2.63296601261664e+01dB,-8.71922636418230e+01°)
2.18776162394958e+03	(-2.67285297773252e+01dB,-8.73185871066632e+01°)
2.29086765276780e+03	(-2.71274595507756e+01dB,-8.74392562116369e+01°)
2.39883291901952e+03	(-2.75264404053344e+01dB,-8.75545226290992e+01°)
2.51188643150961e+03	(-2.79254637257898e+01dB,-8.76646271222884e+01°)
2.63026799189541e+03	(-2.83245212509950e+01dB,-8.77697999853978e+01°)
2.75422870333820e+03	(-2.87236050047515e+01dB,-8.78702614704688e+01°)
2.88403150312664e+03	(-2.91227072289274e+01dB,-8.79662222008652e+01°)
3.01995172040205e+03	(-2.95218203182728e+01dB,-8.80578835712020e+01°)
3.16227766016842e+03	(-2.99209367564000e+01dB,-8.81454381337021e+01°)
3.31131121482595e+03	(-3.03200490524046e+01dB,-8.82290699710354e+01°)
3.46736850452536e+03	(-3.07191496776023e+01dB,-8.83089550557619e+01°)
3.63078054770106e+03	(-3.11182310018571e+01dB,-8.83852615965598e+01°)
3.80189396320566e+03	(-3.15172852289675e+01dB,-8.84581503714622e+01°)
3.98107170553503e+03	(-3.19163043305666e+01dB,-8.85277750483662e+01°)
4.16869383470341e+03	(-3.23152799779805e+01dB,-8.85942824931065e+01°)
4.36515832240172e+03	(-3.27142034714633e+01dB,-8.86578130654089e+01°)
4.57088189614881e+03	(-3.31130656662090e+01dB,-8.87185009030571e+01°)
4.78630092322645e+03	(-3.35118568945051e+01dB,-8.87764741946196e+01°)
5.01187233627279e+03	(-3.39105668833612e+01dB,-8.88318554410899e+01°)
5.24807460249780e+03	(-3.43091846669022e+01dB,-8.88847617068024e+01°)
5.49540873857632e+03	(-3.47076984927692e+01dB,-8.89353048599851e+01°)
5.75439937337165e+03	(-3.51060957217157e+01dB,-8.89835918033133e+01°)
6.02559586074366e+03	(-3.55043627195249e+01dB,-8.90297246948250e+01°)
6.30957344480202e+03	(-3.59024847403040e+01dB,-8.90738011595552e+01°)
6.60693448007605e+03	(-3.63004458001316e+01dB,-8.91159144922425e+01°)
6.91830970918946e+03	(-3.66982285399440e+01dB,-8.91561538514551e+01°)
7.24435960075000e+03	(-3.70958140764497e+01dB,-8.91946044454751e+01°)
7.58577575029195e+03	(-3.74931818397458e+01dB,-8.92313477102761e+01°)
7.94328234724293e+03	(-3.78903093961856e+01dB,-8.92664614799166e+01°)
8.31763771102683e+03	(-3.82871722549086e+01dB,-8.93000201496690e+01°)
8.70963589956093e+03	(-3.86837436562845e+01dB,-8.93320948321904e+01°)
9.12010839355923e+03	(-3.90799943403504e+01dB,-8.93627535070376e+01°)
9.54992586021450e+03	(-3.94758922931220e+01dB,-8.93920611638179e+01°)
1.00000000000001e+04	(-3.98714024684424e+01dB,-8.94200799392593e+01°)
1.04712854805092e+04	(-4.02664864827846e+01dB,-8.94468692484785e+01°)
1.09647819614320e+04	(-4.06611022801510e+01dB,-8.94724859107134e+01°)
1.14815362149690e+04	(-4.10552037639001e+01dB,-8.94969842697848e+01°)
1.20226443461743e+04	(-4.14487403919869e+01dB,-8.95204163095410e+01°)
1.25892541179419e+04	(-4.18416567317087e+01dB,-8.95428317645363e+01°)
1.31825673855643e+04	(-4.22338919696085e+01dB,-8.95642782261885e+01°)
1.38038426460291e+04	(-4.26253793716848e+01dB,-8.95848012446550e+01°)
1.44543977074595e+04	(-4.30160456884967e+01dB,-8.96044444266658e+01°)
1.51356124843623e+04	(-4.34058104991029e+01dB,-8.96232495295487e+01°)
1.58489319246114e+04	(-4.37945854870475e+01dB,-8.96412565516799e+01°)
1.65958690743759e+04	(-4.41822736407649e+01dB,-8.96585038195962e+01°)
1.73780082874940e+04	(-4.45687683698245e+01dB,-8.96750280720059e+01°)
1.81970085861001e+04	(-4.49539525273336e+01dB,-8.96908645409391e+01°)
1.90546071796328e+04	(-4.53376973275531e+01dB,-8.97060470302878e+01°)
1.99526231496891e+04	(-4.57198611463205e+01dB,-8.97206079919918e+01°)
2.08929613085407e+04	(-4.61002881901775e+01dB,-8.97345786001442e+01°)
2.18776162394959e+04	(-4.64788070181265e+01dB,-8.97479888233032e+01°)
2.29086765276781e+04	(-4.68552288976361e+01dB,-8.97608674953225e+01°)
2.39883291901953e+04	(-4.72293459738090e+01dB,-8.97732423850397e+01°)
2.51188643150962e+04	(-4.76009292274426e+01dB,-8.97851402651981e+01°)
2.63026799189542e+04	(-4.79697261939386e+01dB,-8.97965869810230e+01°)
2.75422870333821e+04	(-4.83354584105394e+01dB,-8.98076075189317e+01°)
2.88403150312665e+04	(-4.86978185540161e+01dB,-8.98182260759267e+01°)
3.01995172040207e+04	(-4.90564672245082e+01dB,-8.98284661303130e+01°)
3.16227766016843e+04	(-4.94110293234619e+01dB,-8.98383505144935e+01°)
3.31131121482597e+04	(-4.97610899642102e+01dB,-8.98479014907429e+01°)
3.46736850452537e+04	(-5.01061898422608e+01dB,-8.98571408310391e+01°)
3.63078054770107e+04	(-5.04458199782728e+01dB,-8.98660899022688e+01°)
3.80189396320568e+04	(-5.07794157292982e+01dB,-8.98747697584211e+01°)
3.98107170553504e+04	(-5.11063499422312e+01dB,-8.98832012417688e+01°)
4.16869383470342e+04	(-5.14259250963098e+01dB,-8.98914050955413e+01°)
4.36515832240173e+04	(-5.17373642473410e+01dB,-8.98994020912485e+01°)
4.57088189614883e+04	(-5.20398005428667e+01dB,-8.99072131746830e+01°)
4.78630092322647e+04	(-5.23322650217947e+01dB,-8.99148596357854e+01°)
5.01187233627281e+04	(-5.26136723399923e+01dB,-8.99223633091073e+01°)
5.24807460249782e+04	(-5.28828039693161e+01dB,-8.99297468137182e+01°)
5.49540873857634e+04	(-5.31382882935877e+01dB,-8.99370338442940e+01°)
5.75439937337167e+04	(-5.33785768598025e+01dB,-8.99442495291475e+01°)
6.02559586074368e+04	(-5.36019158200974e+01dB,-8.99514208766112e+01°)
6.30957344480204e+04	(-5.38063112959123e+01dB,-8.99585773392511e+01°)
6.60693448007608e+04	(-5.39894869750065e+01dB,-8.99657515370527e+01°)
6.91830970918949e+04	(-5.41488316612225e+01dB,-8.99729801978953e+01°)
7.24435960075003e+04	(-5.42813336540745e+01dB,-8.99803053993285e+01°)
7.58577575029197e+04	(-5.43834976117380e+01dB,-8.99877762349115e+01°)
7.94328234724296e+04	(-5.44512377404176e+01dB,-8.99954510895753e+01°)
8.31763771102686e+04	(-5.44797384163236e+01dB,-9.00034008062178e+01°)
