Freq.	V(n028)/V(n012)
1.46217717445672e+01	(-2.81525733983853e-03dB,-1.66283865735406e-01°)
1.47061841540457e+01	(-2.81567671444472e-03dB,-1.67243827585548e-01°)
1.47910838816821e+01	(-2.81610094487201e-03dB,-1.68209331262352e-01°)
1.48764737407951e+01	(-2.81653008786801e-03dB,-1.69180408757082e-01°)
1.49623565609444e+01	(-2.81696420028643e-03dB,-1.70157092246219e-01°)
1.50487351880252e+01	(-2.81740333893473e-03dB,-1.71139414092158e-01°)
1.51356124843621e+01	(-2.81784756285931e-03dB,-1.72127406843356e-01°)
1.52229913288043e+01	(-2.81829693031365e-03dB,-1.73121103236939e-01°)
1.53108746168204e+01	(-2.81875150124420e-03dB,-1.74120536198383e-01°)
1.53992652605950e+01	(-2.81921133623411e-03dB,-1.75125738843037e-01°)
1.54881661891249e+01	(-2.81967649552503e-03dB,-1.76136744478537e-01°)
1.55775803483161e+01	(-2.82014704078538e-03dB,-1.77153586603869e-01°)
1.56675107010816e+01	(-2.82062303490771e-03dB,-1.78176298911255e-01°)
1.57579602274393e+01	(-2.82110454059263e-03dB,-1.79204915287966e-01°)
1.58489319246112e+01	(-2.82159162179867e-03dB,-1.80239469816457e-01°)
1.59404288071222e+01	(-2.82208434326285e-03dB,-1.81279996775903e-01°)
1.60324539069005e+01	(-2.82258277051322e-03dB,-1.82326530643371e-01°)
1.61250102733775e+01	(-2.82308696843155e-03dB,-1.83379106095860e-01°)
1.62181009735894e+01	(-2.82359700508487e-03dB,-1.84437758008742e-01°)
1.63117290922785e+01	(-2.82411294740198e-03dB,-1.85502521460303e-01°)
1.64058977319955e+01	(-2.82463486391782e-03dB,-1.86573431730440e-01°)
1.65006100132024e+01	(-2.82516282426320e-03dB,-1.87650524302529e-01°)
1.65958690743757e+01	(-2.82569689767055e-03dB,-1.88733834865699e-01°)
1.66916780721107e+01	(-2.82623715557752e-03dB,-1.89823399314105e-01°)
1.67880401812257e+01	(-2.82678366897900e-03dB,-1.90919253749799e-01°)
1.68849585948676e+01	(-2.82733651054840e-03dB,-1.92021434482791e-01°)
1.69824365246175e+01	(-2.82789575393345e-03dB,-1.93129978032348e-01°)
1.70804772005972e+01	(-2.82846147313496e-03dB,-1.94244921129385e-01°)
1.71790838715760e+01	(-2.82903374268531e-03dB,-1.95366300716336e-01°)
1.72782598050787e+01	(-2.82961263902399e-03dB,-1.96494153948596e-01°)
1.73780082874938e+01	(-2.83019823834745e-03dB,-1.97628518196811e-01°)
1.74783326241823e+01	(-2.83079061855670e-03dB,-1.98769431046464e-01°)
1.75792361395870e+01	(-2.83138985798783e-03dB,-1.99916930300566e-01°)
1.76807221773433e+01	(-2.83199603631300e-03dB,-2.01071053979918e-01°)
1.77827941003893e+01	(-2.83260923375908e-03dB,-2.02231840325109e-01°)
1.78854552910778e+01	(-2.83322953171827e-03dB,-2.03399327797039e-01°)
1.79887091512880e+01	(-2.83385701252911e-03dB,-2.04573555078972e-01°)
1.80925591025383e+01	(-2.83449175852249e-03dB,-2.05754561077688e-01°)
1.81970085860999e+01	(-2.83513385505830e-03dB,-2.06942384923500e-01°)
1.83020610631107e+01	(-2.83578338626945e-03dB,-2.08137065973774e-01°)
1.84077200146897e+01	(-2.83644043866771e-03dB,-2.09338643812266e-01°)
1.85139889420528e+01	(-2.83710509883048e-03dB,-2.10547158251684e-01°)
1.86208713666288e+01	(-2.83777745579216e-03dB,-2.11762649333669e-01°)
1.87283708301756e+01	(-2.83845759831034e-03dB,-2.12985157331890e-01°)
1.88364908948981e+01	(-2.83914561615651e-03dB,-2.14214722752237e-01°)
1.89452351435660e+01	(-2.83984160065719e-03dB,-2.15451386334280e-01°)
1.90546071796326e+01	(-2.84054564419141e-03dB,-2.16695189052586e-01°)
1.91646106273540e+01	(-2.84125784004499e-03dB,-2.17946172118420e-01°)
1.92752491319095e+01	(-2.84197828314852e-03dB,-2.19204376980456e-01°)
1.93865263595222e+01	(-2.84270706807960e-03dB,-2.20469845327556e-01°)
1.94984459975806e+01	(-2.84344429138762e-03dB,-2.21742619088551e-01°)
1.96110117547606e+01	(-2.84419005175675e-03dB,-2.23022740433881e-01°)
