Freq.	V(n028)/V(n012)
4.34010263644750e+01	(-3.09825642628904e-03dB,-4.93560792925341e-01°)
4.36515832240172e+01	(-3.10195263910558e-03dB,-4.96410009693294e-01°)
4.39035865640951e+01	(-3.10569164858301e-03dB,-4.99275672717006e-01°)
4.41570447353319e+01	(-3.10947395155122e-03dB,-5.02157876898593e-01°)
4.44119661365595e+01	(-3.11330004702757e-03dB,-5.05056717688470e-01°)
4.46683592150970e+01	(-3.11717044412722e-03dB,-5.07972291085922e-01°)
4.49262324670300e+01	(-3.12108565420015e-03dB,-5.10904693644886e-01°)
4.51855944374929e+01	(-3.12504619670988e-03dB,-5.13854022475182e-01°)
4.54464537209515e+01	(-3.12905259659515e-03dB,-5.16820375246626e-01°)
4.57088189614882e+01	(-3.13310538458830e-03dB,-5.19803850192256e-01°)
4.59726988530879e+01	(-3.13720509782886e-03dB,-5.22804546111168e-01°)
4.62381021399267e+01	(-3.14135227926739e-03dB,-5.25822562372181e-01°)
4.65050376166613e+01	(-3.14554747904407e-03dB,-5.28857998916776e-01°)
4.67735141287205e+01	(-3.14979125261534e-03dB,-5.31910956262553e-01°)
4.70435405725983e+01	(-3.15408416269200e-03dB,-5.34981535506583e-01°)
4.73151258961488e+01	(-3.15842677748350e-03dB,-5.38069838328748e-01°)
4.75882790988824e+01	(-3.16281967371458e-03dB,-5.41175966994681e-01°)
4.78630092322646e+01	(-3.16726343213664e-03dB,-5.44300024359968e-01°)
4.81393254000152e+01	(-3.17175864272647e-03dB,-5.47442113872542e-01°)
4.84172367584107e+01	(-3.17630590059315e-03dB,-5.50602339576990e-01°)
4.86967525165871e+01	(-3.18090580733156e-03dB,-5.53780806117577e-01°)
4.89778819368454e+01	(-3.18555897474705e-03dB,-5.56977618741024e-01°)
4.92606343349585e+01	(-3.19026601779214e-03dB,-5.60192883301493e-01°)
4.95450190804798e+01	(-3.19502756018193e-03dB,-5.63426706262858e-01°)
4.98310455970537e+01	(-3.19984423381153e-03dB,-5.66679194702350e-01°)
5.01187233627280e+01	(-3.20471667622382e-03dB,-5.69950456314675e-01°)
5.04080619102677e+01	(-3.20964553341193e-03dB,-5.73240599414915e-01°)
5.06990708274712e+01	(-3.21463145817254e-03dB,-5.76549732942540e-01°)
5.09917597574878e+01	(-3.21967511165818e-03dB,-5.79877966464554e-01°)
5.12861383991373e+01	(-3.22477716163697e-03dB,-5.83225410179697e-01°)
5.15822165072314e+01	(-3.22993828429086e-03dB,-5.86592174921519e-01°)
5.18800038928969e+01	(-3.23515916395332e-03dB,-5.89978372162151e-01°)
5.21795104239011e+01	(-3.24044049216110e-03dB,-5.93384114016186e-01°)
5.24807460249781e+01	(-3.24578296833637e-03dB,-5.96809513244313e-01°)
5.27837206781585e+01	(-3.25118730111609e-03dB,-6.00254683256708e-01°)
5.30884444230997e+01	(-3.25665420598383e-03dB,-6.03719738117257e-01°)
5.33949273574185e+01	(-3.26218440779824e-03dB,-6.07204792546854e-01°)
5.37031796370261e+01	(-3.26777863894866e-03dB,-6.10709961927492e-01°)
5.40132114764644e+01	(-3.27343764086111e-03dB,-6.14235362305864e-01°)
5.43250331492442e+01	(-3.27916216342050e-03dB,-6.17781110397276e-01°)
5.46386549881863e+01	(-3.28495296528712e-03dB,-6.21347323589406e-01°)
5.49540873857634e+01	(-3.29081081327742e-03dB,-6.24934119946388e-01°)
5.52713407944444e+01	(-3.29673648406966e-03dB,-6.28541618212233e-01°)
5.55904257270413e+01	(-3.30273076259971e-03dB,-6.32169937815194e-01°)
5.59113527570569e+01	(-3.30879444289178e-03dB,-6.35819198871537e-01°)
5.62341325190359e+01	(-3.31492832890737e-03dB,-6.39489522189300e-01°)
5.65587757089163e+01	(-3.32113323328751e-03dB,-6.43181029272488e-01°)
