Freq.	V(n028)
1.64058977319955e+01	(-2.82465654970510e-03dB,-1.86573417552171e-01°)
1.65006100132024e+01	(-2.82518476119516e-03dB,-1.87650510040943e-01°)
1.65958690743757e+01	(-2.82571908860548e-03dB,-1.88733820520323e-01°)
1.66916780721107e+01	(-2.82625960346436e-03dB,-1.89823384884421e-01°)
1.67880401812257e+01	(-2.82680637679952e-03dB,-1.90919239235290e-01°)
1.68849585948676e+01	(-2.82735948131811e-03dB,-1.92021419882936e-01°)
1.69824365246175e+01	(-2.82791899071128e-03dB,-1.93129963346606e-01°)
1.70804772005972e+01	(-2.82848497896151e-03dB,-1.94244906357273e-01°)
1.71790838715760e+01	(-2.82905752068028e-03dB,-1.95366285857335e-01°)
1.72782598050787e+01	(-2.82963669236594e-03dB,-1.96494139002133e-01°)
1.73780082874938e+01	(-2.83022257020817e-03dB,-1.97628503162373e-01°)
1.74783326241823e+01	(-2.83081523220832e-03dB,-1.98769415923499e-01°)
1.75792361395870e+01	(-2.83141475665616e-03dB,-1.99916915088545e-01°)
1.76807221773433e+01	(-2.83202122327402e-03dB,-2.01071038678290e-01°)
1.77827941003893e+01	(-2.83263471237175e-03dB,-2.02231824933342e-01°)
1.78854552910778e+01	(-2.83325530532416e-03dB,-2.03399312314600e-01°)
1.79887091512880e+01	(-2.83388308458653e-03dB,-2.04573539505274e-01°)
1.80925591025383e+01	(-2.83451813248782e-03dB,-2.05754545412175e-01°)
1.81970085860999e+01	(-2.83516053439371e-03dB,-2.06942369165625e-01°)
1.83020610631107e+01	(-2.83581037455575e-03dB,-2.08137050122940e-01°)
1.84077200146897e+01	(-2.83646773947029e-03dB,-2.09338627867905e-01°)
1.85139889420528e+01	(-2.83713271571763e-03dB,-2.10547142213260e-01°)
1.86208713666288e+01	(-2.83780539254535e-03dB,-2.11762633200541e-01°)
1.87283708301756e+01	(-2.83848585849979e-03dB,-2.12985141103545e-01°)
1.88364908948981e+01	(-2.83917420361868e-03dB,-2.14214706428030e-01°)
1.89452351435660e+01	(-2.83987051914076e-03dB,-2.15451369913661e-01°)
1.90546071796326e+01	(-2.84057489748654e-03dB,-2.16695172534958e-01°)
1.91646106273540e+01	(-2.84128743214346e-03dB,-2.17946155503141e-01°)
1.92752491319095e+01	(-2.84200821787040e-03dB,-2.19204360266958e-01°)
1.93865263595222e+01	(-2.84273734945911e-03dB,-2.20469828515213e-01°)
1.94984459975806e+01	(-2.84347492339049e-03dB,-2.21742602176768e-01°)
1.96110117547606e+01	(-2.84422103844422e-03dB,-2.23022723422054e-01°)
1.97242273611487e+01	(-2.84497579293126e-03dB,-2.24310234665478e-01°)
1.98380965683652e+01	(-2.84573928647160e-03dB,-2.25605178566451e-01°)
1.99526231496889e+01	(-2.84651162116062e-03dB,-2.26907598029656e-01°)
2.00678109001820e+01	(-2.84729289913230e-03dB,-2.28217536208195e-01°)
2.01836636368157e+01	(-2.84808322297218e-03dB,-2.29535036504475e-01°)
2.03001851985970e+01	(-2.84888269850318e-03dB,-2.30860142570326e-01°)
2.04173794466954e+01	(-2.84969143203158e-03dB,-2.32192898309929e-01°)
2.05352502645716e+01	(-2.85050952955216e-03dB,-2.33533347881720e-01°)
2.06538015581054e+01	(-2.85133709969614e-03dB,-2.34881535698214e-01°)
2.07730372557258e+01	(-2.85217425294306e-03dB,-2.36237506427865e-01°)
2.08929613085405e+01	(-2.85302110006386e-03dB,-2.37601304997456e-01°)
2.10135776904676e+01	(-2.85387775275563e-03dB,-2.38972976593475e-01°)
